rank,score,year,tags,query,title,venue,doi,url,type,abstract
1,9,2026,,vision language action robotics,10 Open Challenges Steering the Future of Vision-Language-Action Models,Proceedings of the AAAI Conference on Artificial Intelligence,10.1609/aaai.v40i46.41333,https://doi.org/10.1609/aaai.v40i46.41333,journal-article,"<jats:p>Due to their ability of follow natural language
instructions,
vision-language-action (VLA) models are increasingly preva-
lent in the embodied AI arena, following the widespread suc-
cess of their precursors—LLMs and VLMs. In this paper,
we discuss 10 principal milestones in the ongoing develop-
ment of VLA models—multimodality, reasoning, data, eval-
uation, cross-robkot action generalization, efficiency,
whole-
body coordination, safety, agents, and coordination with hu-
mans. Furtherm"
2,9,2026,,vision language action robotics,ActionX: pre-training action experts with reinforcement learning for vision-language action models,Frontiers in Neurorobotics,10.3389/fnbot.2026.1806605,https://doi.org/10.3389/fnbot.2026.1806605,journal-article,"<jats:p>Vision-Language Action (VLA) models have enabled language-driven robotic manipulation by integrating language instructions, visual perception, and action generation. However, existing VLA approaches heavily rely on large-scale human demonstration datasets, which leads to substantial data collection and training costs. To address this, we propose ActionX, a pretraining framework that learns Action eXperts using reinforcement learning while leveraging a frozen, pretrained Vision-Language M"
3,9,2026,,vision language action robotics,DexGraspVLA: A Vision-Language-Action Framework Towards General Dexterous Grasping,Proceedings of the AAAI Conference on Artificial Intelligence,10.1609/aaai.v40i22.38953,https://doi.org/10.1609/aaai.v40i22.38953,journal-article,"<jats:p>Dexterous grasping remains a fundamental yet challenging problem in robotics. A general-purpose robot must be capable of grasping diverse objects in arbitrary scenarios. However, existing research typically relies on restrictive assumptions, such as single-object settings or limited environments, showing constrained generalization. We present DexGraspVLA, a hierarchical framework for robust generalization in language-guided general dexterous grasping and beyond. It utilizes a pre-trained"
4,9,2026,,embodied intelligence scaling,Multi-Scaling Laws for Embodied Intelligence: A Conjecture on Nested Power-Law Relationships in Dexterous Manipulation,,10.36227/techrxiv.176857966.68601161/v1,https://doi.org/10.36227/techrxiv.176857966.68601161/v1,posted-content,
5,9,2025,,contact-rich manipulation,Co-Training Multimodal World Models and Diffusion-Guided Policies for Zero-Shot Contact- Rich Manipulation,,10.21203/rs.3.rs-7347334/v1,https://doi.org/10.21203/rs.3.rs-7347334/v1,posted-content,"<title>Abstract</title>
        <p>This study presents <bold>MWM‑DD</bold> (Multimodal World Model–Diffusion Decision), a unified control architecture that couples: (i) a vision–tactile–proprioceptive encoder aligned in a shared predictive latent; (ii) a Transformer‑VAE world model that captures latent dynamics and rewards; and (iii) a constraint‑ and value‑guided <bold>diffusion decision</bold> module realized as a receding‑horizon controller. The system is trained end‑to‑end using reconstructi"
6,9,2025,,vision language action robotics,Integrating Motion Planning in Vision Language Action Agents,Applied and Computational Engineering,10.54254/2755-2721/2025.ast27134,https://doi.org/10.54254/2755-2721/2025.ast27134,journal-article,"<jats:p>Vision-Language-Action (VLA) models integrate visual perception, natural language understanding, and embodied control into a unified framework, enabling end-to-end task execution from multimodal instructions. While such models have demonstrated impressive generalization across tasks and environments, their direct outputs—often in the form of discrete action tokens or waypoint sequences—frequently overlook key physical constraints, such as trajectory feasibility, collision avoidance, and "
7,9,2025,,vision language action robotics,Vision-Language-Action Models for Robotics: A Review Towards Real-World Applications,,10.36227/techrxiv.175502755.53627529/v1,https://doi.org/10.36227/techrxiv.175502755.53627529/v1,posted-content,"<jats:p>Amid growing efforts to leverage advances in large language models (LLMs) and vision-language models (VLMs) for robotics, Vision-Language-Action (VLA) models have recently gained significant attention. By unifying vision, language, and action data at scale, which have traditionally been studied separately, VLA models aim to learn policies that generalise across diverse tasks, objects, embodiments, and environments. This generalisation capability is expected to enable robots to solve nove"
8,8,2020,,sim-to-real robotics,Blind Spot Detection for Safe Sim-to-Real Transfer,Journal of Artificial Intelligence Research,10.1613/jair.1.11436,https://doi.org/10.1613/jair.1.11436,journal-article,"<jats:p>Agents trained in simulation may make errors when performing actions in the real world due to mismatches between training and execution environments. These mistakes can be dangerous and difficult for the agent to discover because the agent is unable to predict them a priori. In this work, we propose the use of oracle feedback to learn a predictive model of these blind spots in order to reduce costly errors in real-world applications. We focus on blind spots in reinforcement learning (RL)"
9,7,2026,,contact-rich manipulation,"A generic task model and control strategy to support learning, robust control, and generalization of contact-rich manipulation tasks",Robotics and Autonomous Systems,10.1016/j.robot.2025.105270,https://doi.org/10.1016/j.robot.2025.105270,journal-article,
10,7,2026,,vision language action robotics,Data-Driven Robotics: Vision–Language–Action Learning for Robust Manipulation and Autonomy,,10.62311/nesx/rb-978-81-999716-2-2,https://doi.org/10.62311/nesx/rb-978-81-999716-2-2,reference-book,"<jats:p>Abstract:
This manuscript develops a rigorous academic framework for data-driven robotics with particular emphasis on vision-language-action learning for robust manipulation and autonomy. It brings together foundations of embodied intelligence, uncertainty management, statistical explanation, causal inference, machine learning, scalable analytics engineering, and governance-oriented deployment design. The book argues that reliable autonomy emerges not from isolated model performance, but"
